family,offered_load,threshold,dwell,algorithm,static_median,other_median,median_difference,p_value,cliffs_delta,static_lower,n_pairs,p_holm,effect,significant
scale_free,0.7,1.0,5,ecmp,32.0,93.5,60.0,1.6890670049981201e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,5,cspf,32.0,97.0,63.5,1.6954815515692352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,5,orbit,32.0,91.5,58.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,10,spf-reconverge,32.0,107.0,75.5,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,10,ecmp,32.0,91.5,60.0,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,10,cspf,32.0,95.0,62.0,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,10,orbit,32.0,91.0,59.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,20,spf-reconverge,32.0,104.5,74.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,20,ecmp,32.0,89.0,58.0,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,20,cspf,32.0,95.0,64.0,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,20,orbit,32.0,90.0,59.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,40,spf-reconverge,27.5,68.5,39.5,1.7029908934686465e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,40,ecmp,27.5,60.0,33.0,1.6986964471794946e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,40,cspf,27.5,61.5,36.5,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,1.0,40,orbit,27.5,64.0,34.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,1,spf-reconverge,61.5,136.0,75.0,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,1,ecmp,61.5,131.0,69.5,1.7278603148724103e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,1,cspf,61.5,135.0,73.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,1,orbit,61.5,136.5,76.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,3,spf-reconverge,61.5,136.0,75.0,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,3,ecmp,61.5,126.5,67.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,3,cspf,61.5,135.0,73.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
