experiment,scenario,family,nodes,offered_load,failure,algorithm,trial,seed,flows,live_links,bound,achieved,optimality_gap
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,28,10513786720235137980,24,23,104494.29446818768,104412.56819649,0.0007821122876958686
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,28,10513786720235137980,24,23,104494.29446818768,104443.56010747969,0.00048552278348024114
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,28,10513786720235137980,24,23,104494.29446818768,104494.29446818768,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,28,10513786720235137980,24,23,104494.29446818768,103514.26182973238,0.009378814828532755
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,28,10513786720235137980,24,23,104494.29446818768,103514.26182973238,0.009378814828532755
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,29,14143072430302415794,24,23,134400.41655114366,134301.2850595682,0.0007375832167731966
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,29,14143072430302415794,24,23,134400.41655114366,134377.04663994513,0.00017388272892471246
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,29,14143072430302415794,24,23,134400.41655114366,134301.2850595682,0.0007375832167731966
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,29,14143072430302415794,24,23,134400.41655114366,134065.07246056467,0.0024951119883722672
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,29,14143072430302415794,24,23,134400.41655114366,134065.07246056467,0.0024951119883722672
a10-optimality,grid-n12-load0.5-none-centralised,grid,9,0.5,none,cspf,0,3464819485423918118,24,24,107309.29190478596,107284.63568891295,0.00022976776228178508
a10-optimality,grid-n12-load0.5-none-centralised,grid,9,0.5,none,ecmp,0,3464819485423918118,24,24,107309.29190478596,107286.04529966037,0.00021663180059205978
